scenario,effect_size,detections,repetitions,power,interval_low,interval_high,detectability
main_marginal,0.0,26,1000,0.026,0.01780393820161633,0.03782382884268992,insufficient_power
main_marginal,0.005,34,1000,0.034,0.024431348663226316,0.04713519024531107,insufficient_power
main_marginal,0.01,79,1000,0.079,0.06384721576082919,0.09737491488400823,insufficient_power
main_marginal,0.015,250,1000,0.25,0.2241530989836914,0.27776028025908617,insufficient_power
main_marginal,0.02,520,1000,0.52,0.4890177246575191,0.5508292050030588,insufficient_power
main_marginal,0.03,941,1000,0.941,0.9246390972285408,0.9539857017871995,detectable
main_marginal,0.05,1000,1000,1.0,0.996173241514445,1.0,detectable
main_marginal,0.08,1000,1000,1.0,0.996173241514445,1.0,detectable
main_marginal,0.1,1000,1000,1.0,0.996173241514445,1.0,detectable
chance_marginal,0.0,20,1000,0.02,0.01298368291641514,0.03069000522971778,insufficient_power
chance_marginal,0.005,40,1000,0.04,0.029510973685452767,0.05400964412125795,insufficient_power
chance_marginal,0.01,125,1000,0.125,0.10592623063520473,0.14694383822896162,insufficient_power
chance_marginal,0.015,369,1000,0.369,0.33964716115877136,0.399355449564444,insufficient_power
chance_marginal,0.02,660,1000,0.66,0.6300773195897643,0.6886981176948582,insufficient_power
chance_marginal,0.03,989,1000,0.989,0.9804106042992138,0.9938468259019133,detectable
chance_marginal,0.05,1000,1000,1.0,0.996173241514445,1.0,detectable
chance_marginal,0.08,1000,1000,1.0,0.996173241514445,1.0,detectable
chance_marginal,0.1,1000,1000,1.0,0.996173241514445,1.0,detectable
