candidate_id,period,prediction_count,first_target_date,last_target_date,log_loss,brier,mean_matches,calibration_error,mean_true_number_rank,regret_vs_uniform
uniform,aggregate,1878,2014-01-01,2025-12-31,0.32954410516013694,0.09162848812994585,0.5095846645367412,0.0,25.0,-5.551115123125783e-17
uniform,2014,157,2014-01-01,2014-12-31,0.329544105160137,0.09162848812994584,0.5286624203821656,1.3877787807814457e-17,25.0,0.0
uniform,2015,156,2015-01-03,2015-12-30,0.329544105160137,0.09162848812994584,0.4935897435897436,2.7755575615628914e-17,25.0,0.0
uniform,2016,157,2016-01-02,2016-12-31,0.32954410516013694,0.09162848812994585,0.5732484076433121,1.3877787807814457e-17,25.0,-5.551115123125783e-17
uniform,2017,156,2017-01-02,2017-12-30,0.329544105160137,0.09162848812994584,0.46153846153846156,2.7755575615628914e-17,25.0,0.0
uniform,2018,157,2018-01-01,2018-12-31,0.329544105160137,0.09162848812994584,0.5095541401273885,1.3877787807814457e-17,25.0,0.0
uniform,2019,155,2019-01-02,2019-12-30,0.32954410516013694,0.09162848812994585,0.5096774193548387,2.7755575615628914e-17,25.0,-5.551115123125783e-17
uniform,2020,157,2020-01-01,2020-12-30,0.329544105160137,0.09162848812994585,0.4713375796178344,1.3877787807814457e-17,25.0,0.0
uniform,2021,156,2021-01-02,2021-12-29,0.329544105160137,0.09162848812994584,0.47435897435897434,2.7755575615628914e-17,25.0,0.0
uniform,2022,157,2022-01-01,2022-12-31,0.32954410516013694,0.09162848812994585,0.4840764331210191,1.3877787807814457e-17,25.0,-5.551115123125783e-17
uniform,2023,156,2023-01-02,2023-12-30,0.329544105160137,0.09162848812994584,0.5256410256410257,2.7755575615628914e-17,25.0,0.0
uniform,2024,157,2024-01-01,2024-12-30,0.329544105160137,0.09162848812994585,0.5095541401273885,1.3877787807814457e-17,25.0,0.0
uniform,2025,157,2025-01-01,2025-12-31,0.32954410516013694,0.09162848812994585,0.5732484076433121,1.3877787807814457e-17,25.0,-5.551115123125783e-17
cumulative_frequency_alpha=1.0,aggregate,1878,2014-01-01,2025-12-31,0.329951523377674,0.0917026889628144,0.5250266240681576,0.007000915117387527,25.243503727369543,0.00040741821753703666
cumulative_frequency_alpha=1.0,2014,157,2014-01-01,2014-12-31,0.3299709571360366,0.0917050270388438,0.535031847133758,0.006282811981066282,24.66815286624204,0.00042685197589958923
cumulative_frequency_alpha=1.0,2015,156,2015-01-03,2015-12-30,0.33037466756706335,0.09178076128406765,0.5128205128205128,0.010368328025448783,25.351282051282052,0.0008305624069263606
